min,max,avg,err
4.44,4.48,4.46,0.45
10.57,10.63,10.59,0.28
15.11,15.16,15.14,0.17
19.98,20.08,20.05,0.25
24.53,24.59,24.56,0.12
29.39,29.8,29.5,0.69
34.42,34.51,34.46,0.13
39.05,39.12,39.08,0.09
