min,max,avg,err
5.11,5.14,5.12,0.29
10.29,10.37,10.33,0.39
15.25,15.3,15.28,0.16
20.53,20.58,20.56,0.12
25.11,25.5,25.15,0.78
29.67,30.03,29.71,0.61
34.78,35.23,34.97,0.64
39.58,39.98,39.66,0.5
