Carta,Ferro,Legno,Plastica,Vetro
0.45,0.41,0.67,0.39,0.29
0.28,0.29,0.19,0.14,0.39
0.17,0.2,0.24,0.23,0.16
0.25,0.15,0.13,0.17,0.12
0.12,0.1,0.1,0.41,0.78
0.69,0.72,0.68,0.79,0.61
0.13,0.59,0.09,0.6,0.64
0.09,0.53,0.51,0.98,0.5
