min,max,avg,err
4.9,4.94,4.92,0.41
10.37,10.43,10.4,0.29
14.83,14.89,14.86,0.2
19.7,19.76,19.73,0.15
25.09,25.14,25.11,0.1
29.63,30.06,29.71,0.72
34.59,35.0,34.89,0.59
39.57,39.99,39.76,0.53
