min,max,avg,err
4.42,4.48,4.46,0.67
10.28,10.32,10.3,0.19
14.78,14.85,14.81,0.24
19.72,19.77,19.75,0.13
24.59,24.64,24.62,0.1
29.17,29.57,29.35,0.68
34.52,34.58,34.56,0.09
39.53,39.93,39.58,0.51
